Time,model,File Name,Propagation Delay (s),processing_delay (ms),E2E Delay (s),location,core,model_acc,ram
1716401480,yolov5s,6.jpg,0.261415958,1397.06111,1.689357281,london,half,56.8,500
1716401482,yolov5s,6.jpg,0.284606695,1310.882092,1.621898651,london,half,56.8,500
1716401484,yolov5s,6.jpg,0.430258751,1870.064259,2.330752373,london,half,56.8,500
1716401486,yolov5s,6.jpg,0.177526474,1932.562351,2.133328915,london,half,56.8,500
1716401488,yolov5s,6.jpg,0.181157589,1402.431011,1.607837677,london,half,56.8,500
1716401490,yolov5s,6.jpg,0.216525078,1302.401781,1.547962189,london,half,56.8,500
1716401492,yolov5s,6.jpg,0.246429205,1841.035843,2.118871927,london,half,56.8,500
1716401493,yolov5s,6.jpg,0.173687458,1317.663431,1.517447233,london,half,56.8,500
1716401495,yolov5s,6.jpg,0.182132244,1827.135324,2.043957233,london,half,56.8,500
1716401497,yolov5s,6.jpg,0.176368713,1168.14518,1.364707232,london,half,56.8,500
1716401499,yolov5s,6.jpg,0.175371408,1812.325478,2.010410309,london,half,56.8,500
1716401500,yolov5s,6.jpg,0.226731777,1382.390022,1.633246183,london,half,56.8,500
1716401502,yolov5s,6.jpg,0.191967964,1852.125883,2.067856789,london,half,56.8,500
1716401504,yolov5s,6.jpg,0.218371153,1275.602818,1.54223752,london,half,56.8,500
1716401506,yolov5s,6.jpg,0.180636406,1953.133821,2.165019512,london,half,56.8,500
1716401508,yolov5s,6.jpg,0.247768879,1189.408541,1.467602491,london,half,56.8,500
1716401510,yolov5s,6.jpg,0.244853973,1933.30121,2.203787804,london,half,56.8,500
1716401511,yolov5s,6.jpg,0.199706316,1319.842577,1.553877354,london,half,56.8,500
1716401513,yolov5s,6.jpg,0.211466551,1866.570711,2.106494904,london,half,56.8,500
1716401516,yolov5s,6.jpg,0.234983921,1876.01614,2.138900042,london,half,56.8,500
1716401517,yolov5s,6.jpg,0.251576662,1315.732479,1.592957258,london,half,56.8,500
1716401519,yolov5s,6.jpg,0.105270863,1900.65074,2.034022331,london,half,56.8,500
1716401521,yolov5s,6.jpg,0.243906021,1381.792068,1.650621891,london,half,56.8,500
1716401523,yolov5s,6.jpg,0.476844072,2014.175653,2.516998053,london,half,56.8,500
1716401525,yolov5s,6.jpg,0.185069323,1419.225454,1.634107113,london,half,56.8,500
1716401526,yolov5s,6.jpg,0.199054956,1257.693529,1.479651451,london,half,56.8,500
1716401529,yolov5s,6.jpg,0.208485126,1873.129606,2.120659828,london,half,56.8,500
1716401531,yolov5s,6.jpg,0.130687714,1962.921858,2.130402327,london,half,56.8,500
1716401532,yolov5s,6.jpg,0.217364788,1433.868408,1.69196701,london,half,56.8,500
1716401534,yolov5s,6.jpg,0.111246109,1338.714838,1.477642536,london,half,56.8,500
1716401536,yolov5s,6.jpg,0.137840986,1861.37557,2.028253078,london,half,56.8,500
1716401537,yolov5s,6.jpg,0.222955704,1239.590883,1.488475323,london,half,56.8,500
1716401540,yolov5s,6.jpg,0.333166361,1839.449406,2.205085278,london,half,56.8,500
1716401541,yolov5s,6.jpg,0.166439295,1147.321701,1.333738089,london,half,56.8,500
1716401543,yolov5s,6.jpg,0.180398703,1909.613371,2.117667437,london,half,56.8,500
1716401545,yolov5s,6.jpg,0.293987989,1399.053097,1.723047495,london,half,56.8,500
1716401547,yolov5s,6.jpg,0.119223356,1760.14924,1.905544043,london,half,56.8,500
1716401548,yolov5s,6.jpg,0.278382778,1165.814877,1.475786448,london,half,56.8,500
1716401550,yolov5s,6.jpg,0.232149363,2003.343105,2.257548571,london,half,56.8,500
1716401552,yolov5s,6.jpg,0.324085236,1524.882317,1.890074968,london,half,56.8,500
1716401554,yolov5s,6.jpg,0.105070353,1926.102638,2.059077501,london,half,56.8,500
1716401556,yolov5s,6.jpg,0.241940498,1265.300512,1.543289185,london,half,56.8,500
1716401558,yolov5s,6.jpg,0.177862644,2016.134739,2.219336271,london,half,56.8,500
1716401560,yolov5s,6.jpg,0.271047115,1834.504843,2.135848761,london,half,56.8,500
1716401562,yolov5s,6.jpg,0.170181036,1270.288467,1.461047173,london,half,56.8,500
1716401564,yolov5s,6.jpg,0.256424665,1935.832262,2.223443031,london,half,56.8,500
1716401566,yolov5s,6.jpg,0.285532713,1296.056986,1.611248732,london,half,56.8,500
1716401568,yolov5s,6.jpg,0.202230692,1893.713236,2.124523163,london,half,56.8,500
1716401569,yolov5s,6.jpg,0.272880793,1168.056726,1.47195363,london,half,56.8,500
1716401571,yolov5s,6.jpg,0.259605885,1284.597874,1.569071054,london,half,56.8,500
1716401573,yolov5s,6.jpg,0.149309397,1939.753056,2.116655588,london,half,56.8,500
1716401575,yolov5s,6.jpg,0.254739046,1917.766809,2.199440718,london,half,56.8,500
1716401577,yolov5s,6.jpg,0.18041563,1286.002159,1.507041693,london,half,56.8,500
1716401578,yolov5s,6.jpg,0.095772028,1367.187023,1.488430262,london,half,56.8,500
1716401580,yolov5s,6.jpg,0.193482161,2099.515676,2.32383728,london,half,56.8,500
1716401582,yolov5s,6.jpg,0.175890207,1276.731491,1.478565693,london,half,56.8,500
1716401584,yolov5s,6.jpg,0.171724319,1895.309448,2.096913576,london,half,56.8,500
1716401586,yolov5s,6.jpg,0.191806555,1487.530947,1.706432104,london,half,56.8,500
1716401588,yolov5s,6.jpg,0.268562078,1892.597675,2.184303045,london,half,56.8,500
1716401590,yolov5s,6.jpg,0.260884762,1500.523567,1.792775869,london,half,56.8,500
1716401127,yolov5s,6.jpg,0.131748438,680.419445,0.840116739,london,one,56.8,500
1716401128,yolov5s,6.jpg,0.11672163,745.1052666,0.87507534,london,one,56.8,500
1716401129,yolov5s,6.jpg,0.165779352,491.0039902,0.680544376,london,one,56.8,500
1716401130,yolov5s,6.jpg,0.145048857,811.7530346,0.974313498,london,one,56.8,500
1716401130,yolov5s,6.jpg,0.169279575,521.6941833,0.710515261,london,one,56.8,500
1716401131,yolov5s,6.jpg,0.107066393,872.0324039,1.000193119,london,one,56.8,500
1716401132,yolov5s,6.jpg,0.12890625,605.6072712,0.758236885,london,one,56.8,500
1716401133,yolov5s,6.jpg,0.118479967,827.9209137,0.971824884,london,one,56.8,500
1716401134,yolov5s,6.jpg,0.170533657,823.4369755,1.013319731,london,one,56.8,500
1716401135,yolov5s,6.jpg,0.151181698,572.6554394,0.749558687,london,one,56.8,500
1716401136,yolov5s,6.jpg,0.204696655,525.9392262,0.747447968,london,one,56.8,500
1716401137,yolov5s,6.jpg,0.112486124,866.9996262,1.001388788,london,one,56.8,500
1716401137,yolov5s,6.jpg,0.214607954,636.4388466,0.871839523,london,one,56.8,500
1716401138,yolov5s,6.jpg,0.159576654,826.6859055,1.012573957,london,one,56.8,500
1716401139,yolov5s,6.jpg,0.166243792,483.3714962,0.669039488,london,one,56.8,500
1716401140,yolov5s,6.jpg,0.135591984,823.141098,0.983245134,london,one,56.8,500
